time,volume,complete,o,h,l,c
2019-03-15 00:00:00+00:00,82,True,0.68353,0.68378,0.68349,0.6835
2019-03-15 00:10:00+00:00,77,True,0.68347,0.6838,0.68338,0.68373
2019-03-15 00:20:00+00:00,60,True,0.68375,0.68383,0.68358,0.68372
2019-03-15 00:30:00+00:00,52,True,0.68373,0.68379,0.6836,0.68371
2019-03-15 00:40:00+00:00,106,True,0.6837,0.68399,0.68369,0.68382
2019-03-15 00:50:00+00:00,123,True,0.68383,0.68421,0.68383,0.68391
2019-03-15 01:00:00+00:00,118,True,0.68389,0.6843,0.68387,0.684
2019-03-15 01:10:00+00:00,109,True,0.68401,0.68415,0.6833,0.68337
2019-03-15 01:20:00+00:00,78,True,0.68339,0.68357,0.68332,0.68357
2019-03-15 01:30:00+00:00,70,True,0.68359,0.68391,0.68357,0.68391
2019-03-15 01:40:00+00:00,44,True,0.68389,0.68419,0.68379,0.68413
2019-03-15 01:50:00+00:00,71,True,0.68414,0.68429,0.68395,0.68402
2019-03-15 02:00:00+00:00,75,True,0.68404,0.6842,0.68365,0.68371
2019-03-15 02:10:00+00:00,125,True,0.68372,0.68381,0.6835,0.68369
2019-03-15 02:20:00+00:00,107,True,0.68366,0.68388,0.6835,0.68381
2019-03-15 02:30:00+00:00,43,True,0.68383,0.68408,0.6838,0.68406
2019-03-15 02:40:00+00:00,98,True,0.68408,0.68454,0.68395,0.6845
2019-03-15 02:50:00+00:00,160,True,0.68452,0.68494,0.68431,0.68489
2019-03-15 03:00:00+00:00,213,True,0.68492,0.68511,0.68443,0.68462
2019-03-15 03:10:00+00:00,104,True,0.68463,0.68477,0.68427,0.68437
2019-03-15 03:20:00+00:00,86,True,0.68435,0.68444,0.68419,0.6842
2019-03-15 03:30:00+00:00,40,True,0.68417,0.68439,0.68415,0.68427
2019-03-15 03:40:00+00:00,37,True,0.68426,0.68428,0.68412,0.6842
2019-03-15 03:50:00+00:00,79,True,0.68417,0.68422,0.68398,0.68398
2019-03-15 04:00:00+00:00,56,True,0.68396,0.68445,0.68396,0.68441
2019-03-15 04:10:00+00:00,44,True,0.68439,0.68442,0.68409,0.68414
2019-03-15 04:20:00+00:00,25,True,0.68417,0.68431,0.68415,0.68431
2019-03-15 04:30:00+00:00,49,True,0.68429,0.68438,0.68404,0.68432
2019-03-15 04:40:00+00:00,23,True,0.68435,0.6844,0.68424,0.68427
2019-03-15 04:50:00+00:00,25,True,0.68431,0.68442,0.68425,0.6844
2019-03-15 05:00:00+00:00,46,True,0.68438,0.68441,0.68419,0.68422
2019-03-15 05:10:00+00:00,49,True,0.68419,0.68427,0.68411,0.68419
2019-03-15 05:20:00+00:00,32,True,0.68417,0.68429,0.6841,0.68421
2019-03-15 05:30:00+00:00,37,True,0.68419,0.68458,0.68419,0.68455
2019-03-15 05:40:00+00:00,50,True,0.68457,0.68483,0.68457,0.68472
2019-03-15 05:50:00+00:00,45,True,0.68469,0.68483,0.68463,0.68473
2019-03-15 06:00:00+00:00,31,True,0.6847,0.68476,0.68465,0.68471
2019-03-15 06:10:00+00:00,34,True,0.68473,0.68478,0.68461,0.68465
2019-03-15 06:20:00+00:00,22,True,0.68463,0.6847,0.68446,0.68448
2019-03-15 06:30:00+00:00,43,True,0.6845,0.68478,0.68449,0.68472
2019-03-15 06:40:00+00:00,78,True,0.68475,0.68515,0.68475,0.6849
2019-03-15 06:50:00+00:00,34,True,0.68493,0.68493,0.68477,0.68479
2019-03-15 07:00:00+00:00,96,True,0.68476,0.68488,0.68459,0.68459
2019-03-15 07:10:00+00:00,72,True,0.68461,0.6848,0.68451,0.6846
2019-03-15 07:20:00+00:00,55,True,0.68457,0.68488,0.68449,0.6848
2019-03-15 07:30:00+00:00,112,True,0.68482,0.68538,0.68482,0.68532
2019-03-15 07:40:00+00:00,93,True,0.68535,0.68561,0.68535,0.68538
2019-03-15 07:50:00+00:00,86,True,0.6854,0.68576,0.6854,0.68576
2019-03-15 08:00:00+00:00,76,True,0.68578,0.68579,0.6854,0.6854
2019-03-15 08:10:00+00:00,95,True,0.68536,0.68539,0.68517,0.68536
2019-03-15 08:20:00+00:00,34,True,0.68538,0.68544,0.68518,0.6854
2019-03-15 08:30:00+00:00,76,True,0.68538,0.6854,0.68501,0.68507
2019-03-15 08:40:00+00:00,48,True,0.68509,0.68532,0.68499,0.68532
2019-03-15 08:50:00+00:00,61,True,0.68529,0.68539,0.68521,0.6853
2019-03-15 09:00:00+00:00,67,True,0.68528,0.6854,0.68503,0.68503
2019-03-15 09:10:00+00:00,59,True,0.68506,0.68512,0.68492,0.68512
2019-03-15 09:20:00+00:00,53,True,0.68515,0.68517,0.68477,0.68485
2019-03-15 09:30:00+00:00,68,True,0.68483,0.68483,0.68456,0.68461
2019-03-15 09:40:00+00:00,56,True,0.68459,0.68466,0.68443,0.68463
2019-03-15 09:50:00+00:00,31,True,0.68467,0.6848,0.68441,0.68441
2019-03-15 10:00:00+00:00,48,True,0.68438,0.68471,0.68438,0.68471
2019-03-15 10:10:00+00:00,45,True,0.68473,0.6848,0.68457,0.68457
2019-03-15 10:20:00+00:00,46,True,0.68456,0.6848,0.68456,0.68471
2019-03-15 10:30:00+00:00,30,True,0.68468,0.68468,0.6845,0.68462
2019-03-15 10:40:00+00:00,38,True,0.68459,0.68459,0.68434,0.68438
2019-03-15 10:50:00+00:00,84,True,0.68436,0.68438,0.68396,0.68417
2019-03-15 11:00:00+00:00,43,True,0.68415,0.68415,0.684,0.684
2019-03-15 11:10:00+00:00,11,True,0.68404,0.6841,0.68397,0.6841
2019-03-15 11:20:00+00:00,33,True,0.68412,0.68424,0.68407,0.68413
2019-03-15 11:30:00+00:00,27,True,0.68416,0.68424,0.68399,0.68406
2019-03-15 11:40:00+00:00,18,True,0.68408,0.68423,0.68404,0.68423
2019-03-15 11:50:00+00:00,27,True,0.68425,0.68427,0.68413,0.68421
2019-03-15 12:00:00+00:00,35,True,0.68422,0.68427,0.68412,0.68422
2019-03-15 12:10:00+00:00,12,True,0.68419,0.68419,0.68408,0.6841
2019-03-15 12:20:00+00:00,44,True,0.68408,0.68421,0.68405,0.68415
2019-03-15 12:30:00+00:00,74,True,0.68417,0.68437,0.68407,0.68415
2019-03-15 12:40:00+00:00,72,True,0.68417,0.68421,0.68395,0.68399
2019-03-15 12:50:00+00:00,76,True,0.68396,0.68424,0.68383,0.68385
2019-03-15 13:00:00+00:00,102,True,0.68382,0.68399,0.68356,0.68356
2019-03-15 13:10:00+00:00,103,True,0.68358,0.68425,0.68358,0.68425
2019-03-15 13:20:00+00:00,78,True,0.68427,0.68431,0.6841,0.6841
2019-03-15 13:30:00+00:00,94,True,0.68413,0.68479,0.68413,0.68461
2019-03-15 13:40:00+00:00,103,True,0.68464,0.68519,0.68464,0.68497
2019-03-15 13:50:00+00:00,99,True,0.68494,0.6852,0.68485,0.68494
2019-03-15 14:00:00+00:00,107,True,0.68492,0.68514,0.68465,0.68491
2019-03-15 14:10:00+00:00,123,True,0.68493,0.68536,0.6849,0.68534
2019-03-15 14:20:00+00:00,63,True,0.68536,0.68542,0.68507,0.68514
2019-03-15 14:30:00+00:00,64,True,0.68512,0.68539,0.68512,0.68531
2019-03-15 14:40:00+00:00,74,True,0.68533,0.68538,0.68504,0.68538
2019-03-15 14:50:00+00:00,58,True,0.6854,0.68548,0.68519,0.68519
2019-03-15 15:00:00+00:00,62,True,0.68522,0.68526,0.68494,0.68497
2019-03-15 15:10:00+00:00,64,True,0.68495,0.68522,0.6849,0.68522
2019-03-15 15:20:00+00:00,138,True,0.68518,0.68579,0.68508,0.68555
2019-03-15 15:30:00+00:00,70,True,0.68559,0.6856,0.68535,0.68549
2019-03-15 15:40:00+00:00,97,True,0.68545,0.6855,0.68527,0.68538
2019-03-15 15:50:00+00:00,195,True,0.68535,0.68536,0.68454,0.68488
2019-03-15 16:00:00+00:00,105,True,0.68486,0.68486,0.68446,0.68479
2019-03-15 16:10:00+00:00,51,True,0.68476,0.68485,0.68468,0.6848
2019-03-15 16:20:00+00:00,54,True,0.68483,0.68495,0.68466,0.68469
2019-03-15 16:30:00+00:00,67,True,0.68467,0.68467,0.68433,0.68433
2019-03-15 16:40:00+00:00,71,True,0.6843,0.68447,0.68421,0.6843
2019-03-15 16:50:00+00:00,67,True,0.68433,0.68448,0.68417,0.6844
2019-03-15 17:00:00+00:00,51,True,0.68442,0.6847,0.68442,0.68461
2019-03-15 17:10:00+00:00,33,True,0.68461,0.68461,0.68442,0.68449
2019-03-15 17:20:00+00:00,44,True,0.68447,0.68461,0.68443,0.6846
2019-03-15 17:30:00+00:00,37,True,0.68458,0.68467,0.68453,0.68464
2019-03-15 17:40:00+00:00,55,True,0.68462,0.68467,0.68451,0.68467
2019-03-15 17:50:00+00:00,57,True,0.68465,0.6849,0.68452,0.68456
2019-03-15 18:00:00+00:00,35,True,0.68453,0.68471,0.68453,0.68458
2019-03-15 18:10:00+00:00,10,True,0.68461,0.68468,0.68461,0.68468
2019-03-15 18:20:00+00:00,17,True,0.68469,0.68478,0.68466,0.68468
2019-03-15 18:30:00+00:00,11,True,0.68471,0.68485,0.68471,0.6848
2019-03-15 18:40:00+00:00,25,True,0.68482,0.68487,0.6846,0.68463
2019-03-15 18:50:00+00:00,26,True,0.68464,0.68464,0.68451,0.68457
2019-03-15 19:00:00+00:00,30,True,0.68459,0.68461,0.68448,0.68448
2019-03-15 19:10:00+00:00,20,True,0.68445,0.68447,0.68432,0.68436
2019-03-15 19:20:00+00:00,15,True,0.68438,0.68439,0.68429,0.68437
2019-03-15 19:30:00+00:00,24,True,0.68435,0.68435,0.68424,0.68433
2019-03-15 19:40:00+00:00,32,True,0.68435,0.68442,0.68428,0.68437
2019-03-15 19:50:00+00:00,43,True,0.68439,0.68448,0.68439,0.68439
