time,volume,complete,o,h,l,c
2019-03-15 00:00:00+00:00,204,True,1.01711,1.01771,1.01707,1.01763
2019-03-15 00:10:00+00:00,80,True,1.01762,1.01763,1.0174,1.01747
2019-03-15 00:20:00+00:00,135,True,1.01747,1.0175,1.01734,1.01747
2019-03-15 00:30:00+00:00,210,True,1.01745,1.01802,1.01739,1.01786
2019-03-15 00:40:00+00:00,336,True,1.01787,1.01805,1.01731,1.01754
2019-03-15 00:50:00+00:00,265,True,1.01754,1.01755,1.01708,1.01718
2019-03-15 01:00:00+00:00,147,True,1.01717,1.01735,1.0171,1.01725
2019-03-15 01:10:00+00:00,177,True,1.01727,1.01737,1.0171,1.0171
2019-03-15 01:20:00+00:00,194,True,1.01711,1.01728,1.01708,1.01728
2019-03-15 01:30:00+00:00,347,True,1.01725,1.01743,1.01723,1.01734
2019-03-15 01:40:00+00:00,268,True,1.01734,1.01745,1.01728,1.01729
2019-03-15 01:50:00+00:00,221,True,1.0173,1.01742,1.0172,1.01729
2019-03-15 02:00:00+00:00,259,True,1.01726,1.01736,1.01715,1.01736
2019-03-15 02:10:00+00:00,418,True,1.01735,1.0174,1.01721,1.01728
2019-03-15 02:20:00+00:00,369,True,1.01729,1.0173,1.01714,1.01726
2019-03-15 02:30:00+00:00,255,True,1.01726,1.01741,1.01714,1.01718
2019-03-15 02:40:00+00:00,393,True,1.01714,1.01732,1.01703,1.0173
2019-03-15 02:50:00+00:00,493,True,1.01731,1.01738,1.01705,1.01733
2019-03-15 03:00:00+00:00,983,True,1.01733,1.01764,1.0172,1.01751
2019-03-15 03:10:00+00:00,473,True,1.0175,1.01772,1.01735,1.01771
2019-03-15 03:20:00+00:00,223,True,1.0177,1.01781,1.0176,1.01764
2019-03-15 03:30:00+00:00,112,True,1.01763,1.01777,1.01762,1.01769
2019-03-15 03:40:00+00:00,121,True,1.0177,1.01785,1.01761,1.01779
2019-03-15 03:50:00+00:00,223,True,1.01777,1.01788,1.01757,1.01775
2019-03-15 04:00:00+00:00,168,True,1.01778,1.01781,1.01751,1.0176
2019-03-15 04:10:00+00:00,132,True,1.01759,1.01773,1.01753,1.01768
2019-03-15 04:20:00+00:00,102,True,1.0177,1.01782,1.01768,1.01773
2019-03-15 04:30:00+00:00,73,True,1.01776,1.01785,1.01772,1.01775
2019-03-15 04:40:00+00:00,55,True,1.01776,1.01779,1.01761,1.0177
2019-03-15 04:50:00+00:00,104,True,1.01771,1.01778,1.01766,1.01776
2019-03-15 05:00:00+00:00,193,True,1.01777,1.01797,1.01776,1.01791
2019-03-15 05:10:00+00:00,193,True,1.01789,1.01801,1.01788,1.0179
2019-03-15 05:20:00+00:00,102,True,1.01791,1.01806,1.01789,1.01806
2019-03-15 05:30:00+00:00,143,True,1.01807,1.01809,1.01789,1.018
2019-03-15 05:40:00+00:00,218,True,1.01799,1.018,1.01783,1.01789
2019-03-15 05:50:00+00:00,304,True,1.0179,1.0181,1.01785,1.01806
2019-03-15 06:00:00+00:00,184,True,1.01805,1.01815,1.01795,1.01809
2019-03-15 06:10:00+00:00,176,True,1.01809,1.01816,1.01798,1.01798
2019-03-15 06:20:00+00:00,104,True,1.01798,1.01804,1.01774,1.01784
2019-03-15 06:30:00+00:00,174,True,1.01782,1.01832,1.01781,1.01826
2019-03-15 06:40:00+00:00,122,True,1.01823,1.01848,1.01812,1.01821
2019-03-15 06:50:00+00:00,99,True,1.01823,1.01832,1.01809,1.0182
2019-03-15 07:00:00+00:00,130,True,1.01818,1.01832,1.01804,1.01824
2019-03-15 07:10:00+00:00,135,True,1.01823,1.01832,1.01808,1.01809
2019-03-15 07:20:00+00:00,177,True,1.0181,1.01847,1.0181,1.01847
2019-03-15 07:30:00+00:00,390,True,1.01845,1.01853,1.01819,1.01838
2019-03-15 07:40:00+00:00,470,True,1.01839,1.01843,1.01803,1.01811
2019-03-15 07:50:00+00:00,327,True,1.01811,1.01827,1.01801,1.01816
2019-03-15 08:00:00+00:00,414,True,1.01815,1.0183,1.01803,1.01812
2019-03-15 08:10:00+00:00,284,True,1.0181,1.01812,1.01797,1.01807
2019-03-15 08:20:00+00:00,333,True,1.01806,1.01822,1.01782,1.01815
2019-03-15 08:30:00+00:00,347,True,1.01811,1.01819,1.01792,1.01811
2019-03-15 08:40:00+00:00,217,True,1.01812,1.01834,1.01802,1.0182
2019-03-15 08:50:00+00:00,414,True,1.01816,1.01816,1.01769,1.01777
2019-03-15 09:00:00+00:00,347,True,1.01777,1.01787,1.01754,1.01768
2019-03-15 09:10:00+00:00,890,True,1.01768,1.0177,1.01741,1.01754
2019-03-15 09:20:00+00:00,813,True,1.01757,1.01769,1.01735,1.01739
2019-03-15 09:30:00+00:00,323,True,1.01738,1.01742,1.01714,1.01717
2019-03-15 09:40:00+00:00,431,True,1.01718,1.0174,1.01701,1.01731
2019-03-15 09:50:00+00:00,500,True,1.01731,1.01733,1.01684,1.01687
2019-03-15 10:00:00+00:00,363,True,1.01685,1.01698,1.01676,1.01679
2019-03-15 10:10:00+00:00,380,True,1.01675,1.01684,1.01663,1.01674
2019-03-15 10:20:00+00:00,536,True,1.01674,1.01687,1.01664,1.01674
2019-03-15 10:30:00+00:00,299,True,1.01672,1.01678,1.01649,1.01671
2019-03-15 10:40:00+00:00,289,True,1.0167,1.01675,1.01651,1.01659
2019-03-15 10:50:00+00:00,724,True,1.01658,1.01701,1.01647,1.01685
2019-03-15 11:00:00+00:00,350,True,1.01686,1.01708,1.01672,1.0168
2019-03-15 11:10:00+00:00,217,True,1.0168,1.0168,1.01622,1.01624
2019-03-15 11:20:00+00:00,343,True,1.01622,1.01644,1.01599,1.01625
2019-03-15 11:30:00+00:00,284,True,1.01624,1.01635,1.01588,1.01593
2019-03-15 11:40:00+00:00,379,True,1.01594,1.01594,1.01572,1.0159
2019-03-15 11:50:00+00:00,414,True,1.01588,1.01588,1.01545,1.01558
2019-03-15 12:00:00+00:00,327,True,1.01559,1.01562,1.01527,1.01555
2019-03-15 12:10:00+00:00,175,True,1.01556,1.01567,1.01519,1.01527
2019-03-15 12:20:00+00:00,381,True,1.01527,1.01535,1.01502,1.01516
2019-03-15 12:30:00+00:00,582,True,1.01516,1.01612,1.01516,1.01519
2019-03-15 12:40:00+00:00,499,True,1.01522,1.0155,1.01483,1.01487
2019-03-15 12:50:00+00:00,615,True,1.01489,1.01489,1.01405,1.0143
2019-03-15 13:00:00+00:00,1024,True,1.01434,1.01487,1.01307,1.01327
2019-03-15 13:10:00+00:00,824,True,1.01328,1.01329,1.01244,1.01269
2019-03-15 13:20:00+00:00,570,True,1.01271,1.01326,1.0125,1.01296
2019-03-15 13:30:00+00:00,438,True,1.01299,1.01319,1.01264,1.01292
2019-03-15 13:40:00+00:00,444,True,1.01294,1.01329,1.01286,1.013
2019-03-15 13:50:00+00:00,312,True,1.013,1.01359,1.01284,1.01334
2019-03-15 14:00:00+00:00,511,True,1.01334,1.01374,1.01325,1.01347
2019-03-15 14:10:00+00:00,469,True,1.01345,1.0136,1.01303,1.01315
2019-03-15 14:20:00+00:00,238,True,1.01318,1.01371,1.01318,1.01355
2019-03-15 14:30:00+00:00,196,True,1.0135,1.01355,1.01327,1.01335
2019-03-15 14:40:00+00:00,287,True,1.01334,1.01336,1.01294,1.01335
2019-03-15 14:50:00+00:00,260,True,1.01335,1.01363,1.01325,1.01353
2019-03-15 15:00:00+00:00,233,True,1.01352,1.01381,1.01338,1.01372
2019-03-15 15:10:00+00:00,325,True,1.01375,1.01395,1.01349,1.01373
2019-03-15 15:20:00+00:00,424,True,1.01373,1.01392,1.01328,1.01387
2019-03-15 15:30:00+00:00,242,True,1.01386,1.01386,1.01301,1.01302
2019-03-15 15:40:00+00:00,387,True,1.01302,1.01319,1.01264,1.01296
2019-03-15 15:50:00+00:00,772,True,1.01294,1.01435,1.01287,1.01432
2019-03-15 16:00:00+00:00,693,True,1.01431,1.01493,1.01398,1.01467
2019-03-15 16:10:00+00:00,275,True,1.01463,1.01473,1.01431,1.01444
2019-03-15 16:20:00+00:00,329,True,1.01447,1.01462,1.01424,1.01437
2019-03-15 16:30:00+00:00,238,True,1.01437,1.01475,1.0143,1.0146
2019-03-15 16:40:00+00:00,156,True,1.0146,1.01467,1.01446,1.01454
2019-03-15 16:50:00+00:00,204,True,1.01457,1.01484,1.01434,1.01434
2019-03-15 17:00:00+00:00,162,True,1.01437,1.01452,1.01428,1.01441
2019-03-15 17:10:00+00:00,186,True,1.01444,1.01444,1.01389,1.01396
2019-03-15 17:20:00+00:00,139,True,1.01397,1.01426,1.01384,1.01422
2019-03-15 17:30:00+00:00,90,True,1.0142,1.01454,1.0142,1.01447
2019-03-15 17:40:00+00:00,82,True,1.01446,1.01463,1.01446,1.01451
2019-03-15 17:50:00+00:00,133,True,1.01454,1.01462,1.01437,1.01451
2019-03-15 18:00:00+00:00,125,True,1.01448,1.0145,1.01364,1.01375
2019-03-15 18:10:00+00:00,104,True,1.01376,1.01382,1.01352,1.01357
2019-03-15 18:20:00+00:00,198,True,1.01352,1.01389,1.01341,1.01355
2019-03-15 18:30:00+00:00,159,True,1.01353,1.01393,1.01353,1.01387
2019-03-15 18:40:00+00:00,122,True,1.01384,1.01387,1.01351,1.01352
2019-03-15 18:50:00+00:00,121,True,1.01352,1.01358,1.01331,1.01342
2019-03-15 19:00:00+00:00,296,True,1.01346,1.0139,1.01346,1.01378
2019-03-15 19:10:00+00:00,145,True,1.01377,1.01383,1.01369,1.01378
2019-03-15 19:20:00+00:00,95,True,1.0138,1.01385,1.01362,1.01365
2019-03-15 19:30:00+00:00,91,True,1.01363,1.01386,1.01344,1.01384
2019-03-15 19:40:00+00:00,110,True,1.01389,1.01392,1.01379,1.01384
2019-03-15 19:50:00+00:00,214,True,1.01381,1.01394,1.01319,1.0133
2019-03-15 20:00:00+00:00,132,True,1.01328,1.01331,1.01271,1.01306
2019-03-15 20:10:00+00:00,47,True,1.01307,1.01323,1.01306,1.0132
2019-03-15 20:20:00+00:00,29,True,1.01321,1.01323,1.0129,1.01292
2019-03-15 20:30:00+00:00,133,True,1.01288,1.01313,1.01275,1.01293
2019-03-15 20:40:00+00:00,134,True,1.0129,1.01314,1.01282,1.01314
2019-03-15 20:50:00+00:00,237,True,1.0131,1.0137,1.01282,1.01338
2019-03-17 21:00:00+00:00,16,True,1.01421,1.01424,1.01389,1.0142
2019-03-17 21:10:00+00:00,12,True,1.0142,1.01424,1.0142,1.01424
2019-03-17 21:20:00+00:00,8,True,1.01423,1.01424,1.01423,1.01424
2019-03-17 21:30:00+00:00,44,True,1.01425,1.0143,1.01386,1.01389
2019-03-17 21:40:00+00:00,29,True,1.01391,1.01398,1.01386,1.0139
2019-03-17 21:50:00+00:00,28,True,1.01389,1.0139,1.01374,1.01374
2019-03-17 22:00:00+00:00,66,True,1.01375,1.01396,1.01358,1.01369
2019-03-17 22:10:00+00:00,12,True,1.0137,1.01371,1.01365,1.01369
2019-03-17 22:20:00+00:00,21,True,1.0137,1.01376,1.01364,1.0137
2019-03-17 22:30:00+00:00,35,True,1.01367,1.01373,1.01348,1.01348
2019-03-17 22:40:00+00:00,28,True,1.01344,1.01355,1.01344,1.01353
2019-03-17 22:50:00+00:00,47,True,1.01355,1.0136,1.01349,1.01353
2019-03-17 23:00:00+00:00,60,True,1.01356,1.01361,1.01343,1.01354
2019-03-17 23:10:00+00:00,144,True,1.01354,1.0139,1.01354,1.01387
2019-03-17 23:20:00+00:00,147,True,1.01385,1.0139,1.01371,1.01378
2019-03-17 23:30:00+00:00,68,True,1.01379,1.0139,1.01376,1.0138
2019-03-17 23:40:00+00:00,65,True,1.01379,1.01383,1.01371,1.01379
2019-03-17 23:50:00+00:00,127,True,1.01378,1.01398,1.01378,1.01392
2019-03-18 00:00:00+00:00,172,True,1.01393,1.01412,1.01384,1.01387
2019-03-18 00:10:00+00:00,116,True,1.0139,1.01407,1.0139,1.01394
2019-03-18 00:20:00+00:00,149,True,1.01396,1.01413,1.01396,1.0141
2019-03-18 00:30:00+00:00,206,True,1.01409,1.01433,1.014,1.01425
2019-03-18 00:40:00+00:00,171,True,1.01424,1.01425,1.01403,1.01411
2019-03-18 00:50:00+00:00,204,True,1.01411,1.01432,1.01404,1.0141
2019-03-18 01:00:00+00:00,296,True,1.01412,1.01415,1.01387,1.0139
2019-03-18 01:10:00+00:00,255,True,1.01391,1.01433,1.01386,1.01432
2019-03-18 01:20:00+00:00,223,True,1.0143,1.01443,1.01427,1.01442
2019-03-18 01:30:00+00:00,236,True,1.01441,1.01469,1.0143,1.01464
2019-03-18 01:40:00+00:00,139,True,1.01462,1.01482,1.01457,1.01468
2019-03-18 01:50:00+00:00,245,True,1.0147,1.0148,1.01457,1.0147
2019-03-18 02:00:00+00:00,236,True,1.01469,1.0148,1.0146,1.01471
2019-03-18 02:10:00+00:00,178,True,1.01469,1.0147,1.0144,1.0144
2019-03-18 02:20:00+00:00,192,True,1.01441,1.01461,1.01439,1.01458
2019-03-18 02:30:00+00:00,232,True,1.01459,1.01469,1.01452,1.01462
2019-03-18 02:40:00+00:00,156,True,1.01459,1.01481,1.01455,1.01476
2019-03-18 02:50:00+00:00,224,True,1.01478,1.01513,1.01469,1.01511
2019-03-18 03:00:00+00:00,131,True,1.01509,1.01509,1.01484,1.01493
2019-03-18 03:10:00+00:00,150,True,1.01493,1.01505,1.0148,1.01496
2019-03-18 03:20:00+00:00,157,True,1.01496,1.01516,1.01495,1.015
2019-03-18 03:30:00+00:00,169,True,1.01497,1.01529,1.01497,1.01504
2019-03-18 03:40:00+00:00,148,True,1.01502,1.01505,1.01484,1.01495
2019-03-18 03:50:00+00:00,98,True,1.01494,1.01503,1.01491,1.01501
2019-03-18 04:00:00+00:00,120,True,1.01503,1.01513,1.01498,1.01509
2019-03-18 04:10:00+00:00,62,True,1.0151,1.01516,1.01504,1.01506
2019-03-18 04:20:00+00:00,220,True,1.01507,1.01521,1.01499,1.01514
2019-03-18 04:30:00+00:00,251,True,1.01513,1.01528,1.01504,1.01518
2019-03-18 04:40:00+00:00,111,True,1.01519,1.01519,1.01494,1.01498
2019-03-18 04:50:00+00:00,125,True,1.01495,1.01497,1.01462,1.01464
2019-03-18 05:00:00+00:00,100,True,1.01465,1.01476,1.01458,1.01465
2019-03-18 05:10:00+00:00,86,True,1.01465,1.01477,1.01465,1.01476
2019-03-18 05:20:00+00:00,91,True,1.01476,1.0149,1.0147,1.01484
2019-03-18 05:30:00+00:00,159,True,1.01485,1.01492,1.01461,1.01486
2019-03-18 05:40:00+00:00,184,True,1.01486,1.01498,1.01484,1.01491
2019-03-18 05:50:00+00:00,121,True,1.01491,1.01505,1.01476,1.01504
2019-03-18 06:00:00+00:00,149,True,1.01505,1.01509,1.01487,1.01495
2019-03-18 06:10:00+00:00,182,True,1.01497,1.01505,1.01478,1.01503
2019-03-18 06:20:00+00:00,225,True,1.01504,1.01523,1.01502,1.01508
2019-03-18 06:30:00+00:00,163,True,1.01506,1.0152,1.01484,1.01499
2019-03-18 06:40:00+00:00,212,True,1.015,1.01518,1.01482,1.01511
2019-03-18 06:50:00+00:00,116,True,1.0151,1.01528,1.01508,1.01517
2019-03-18 07:00:00+00:00,187,True,1.01516,1.01537,1.01509,1.01529
2019-03-18 07:10:00+00:00,319,True,1.01529,1.01584,1.01519,1.01541
2019-03-18 07:20:00+00:00,155,True,1.01539,1.01543,1.01513,1.01519
2019-03-18 07:30:00+00:00,257,True,1.01522,1.01532,1.01508,1.01513
2019-03-18 07:40:00+00:00,134,True,1.01509,1.01518,1.01504,1.01514
2019-03-18 07:50:00+00:00,390,True,1.01517,1.01524,1.01494,1.01513
2019-03-18 08:00:00+00:00,375,True,1.01514,1.01517,1.01478,1.01488
2019-03-18 08:10:00+00:00,372,True,1.0149,1.01499,1.01462,1.01468
2019-03-18 08:20:00+00:00,313,True,1.01469,1.01499,1.0146,1.01479
2019-03-18 08:30:00+00:00,243,True,1.01482,1.01503,1.01473,1.01491
2019-03-18 08:40:00+00:00,258,True,1.01489,1.01489,1.01453,1.01472
2019-03-18 08:50:00+00:00,465,True,1.01471,1.01471,1.01439,1.01451
2019-03-18 09:00:00+00:00,370,True,1.0145,1.01461,1.01433,1.01455
2019-03-18 09:10:00+00:00,270,True,1.01451,1.01464,1.01435,1.01437
2019-03-18 09:20:00+00:00,321,True,1.01436,1.01442,1.01427,1.01442
2019-03-18 09:30:00+00:00,238,True,1.01442,1.01443,1.01414,1.01423
2019-03-18 09:40:00+00:00,227,True,1.01425,1.01452,1.01418,1.01445
2019-03-18 09:50:00+00:00,366,True,1.01443,1.01452,1.01419,1.01438
2019-03-18 10:00:00+00:00,281,True,1.01436,1.01438,1.01397,1.01402
2019-03-18 10:10:00+00:00,273,True,1.01402,1.01418,1.01374,1.01388
2019-03-18 10:20:00+00:00,259,True,1.0139,1.01396,1.01379,1.01379
2019-03-18 10:30:00+00:00,157,True,1.01383,1.01395,1.01375,1.01393
2019-03-18 10:40:00+00:00,163,True,1.01394,1.01406,1.01389,1.01401
2019-03-18 10:50:00+00:00,165,True,1.01403,1.01418,1.0138,1.01384
2019-03-18 11:00:00+00:00,220,True,1.01381,1.01422,1.01378,1.01419
2019-03-18 11:10:00+00:00,342,True,1.01421,1.01438,1.01405,1.01411
2019-03-18 11:20:00+00:00,171,True,1.01407,1.01466,1.01403,1.01456
2019-03-18 11:30:00+00:00,165,True,1.0145,1.01455,1.014,1.01408
2019-03-18 11:40:00+00:00,153,True,1.01404,1.01415,1.0139,1.01397
2019-03-18 11:50:00+00:00,104,True,1.01397,1.01407,1.01388,1.0139
2019-03-18 12:00:00+00:00,100,True,1.01394,1.01403,1.01362,1.01369
2019-03-18 12:10:00+00:00,132,True,1.01369,1.01413,1.01362,1.01413
2019-03-18 12:20:00+00:00,142,True,1.01409,1.01436,1.01399,1.01411
2019-03-18 12:30:00+00:00,139,True,1.01416,1.01431,1.01406,1.01419
2019-03-18 12:40:00+00:00,179,True,1.01422,1.01433,1.01375,1.01379
2019-03-18 12:50:00+00:00,295,True,1.0138,1.01381,1.01328,1.01347
2019-03-18 13:00:00+00:00,243,True,1.01346,1.01354,1.01316,1.0132
2019-03-18 13:10:00+00:00,219,True,1.01319,1.01326,1.01264,1.01269
2019-03-18 13:20:00+00:00,224,True,1.01269,1.01285,1.01243,1.0128
2019-03-18 13:30:00+00:00,192,True,1.01283,1.01309,1.01272,1.01299
2019-03-18 13:40:00+00:00,315,True,1.01303,1.01346,1.01299,1.01327
2019-03-18 13:50:00+00:00,273,True,1.01327,1.01363,1.01305,1.01348
2019-03-18 14:00:00+00:00,292,True,1.01348,1.01396,1.01346,1.0136
2019-03-18 14:10:00+00:00,244,True,1.01363,1.01381,1.01345,1.01369
2019-03-18 14:20:00+00:00,188,True,1.0137,1.01399,1.01366,1.01377
2019-03-18 14:30:00+00:00,215,True,1.01379,1.01379,1.01347,1.01347
2019-03-18 14:40:00+00:00,220,True,1.01346,1.01391,1.01338,1.01378
2019-03-18 14:50:00+00:00,316,True,1.01377,1.01406,1.01348,1.01359
