time,volume,complete,o,h,l,c
2019-03-15 00:00:00+00:00,1181,True,1.93908,1.93919,1.93834,1.93869
2019-03-15 00:10:00+00:00,1369,True,1.93871,1.93904,1.9369,1.93692
2019-03-15 00:20:00+00:00,1089,True,1.93693,1.93704,1.93625,1.93656
2019-03-15 00:30:00+00:00,650,True,1.9366,1.93708,1.93633,1.93662
2019-03-15 00:40:00+00:00,1383,True,1.93665,1.93694,1.9357,1.93602
2019-03-15 00:50:00+00:00,1291,True,1.93601,1.93601,1.9352,1.93583
2019-03-15 01:00:00+00:00,1279,True,1.93582,1.9359,1.93461,1.93486
2019-03-15 01:10:00+00:00,1513,True,1.93488,1.93615,1.93381,1.93595
2019-03-15 01:20:00+00:00,968,True,1.93593,1.9363,1.93549,1.93564
2019-03-15 01:30:00+00:00,1120,True,1.93573,1.93595,1.93487,1.93493
2019-03-15 01:40:00+00:00,729,True,1.93491,1.93526,1.93394,1.93397
2019-03-15 01:50:00+00:00,878,True,1.93398,1.93457,1.93367,1.93456
2019-03-15 02:00:00+00:00,1092,True,1.9346,1.93575,1.93414,1.93562
2019-03-15 02:10:00+00:00,1575,True,1.93555,1.93626,1.93539,1.93613
2019-03-15 02:20:00+00:00,1512,True,1.93615,1.93697,1.93574,1.9362
2019-03-15 02:30:00+00:00,1052,True,1.93619,1.93639,1.93551,1.93606
2019-03-15 02:40:00+00:00,1200,True,1.93607,1.9361,1.93453,1.93477
2019-03-15 02:50:00+00:00,1875,True,1.93471,1.93559,1.93414,1.93453
2019-03-15 03:00:00+00:00,2762,True,1.93456,1.93514,1.93404,1.93497
2019-03-15 03:10:00+00:00,1622,True,1.93495,1.93572,1.93472,1.93512
2019-03-15 03:20:00+00:00,1392,True,1.93517,1.93552,1.93442,1.93543
2019-03-15 03:30:00+00:00,685,True,1.93547,1.93563,1.93498,1.93528
2019-03-15 03:40:00+00:00,601,True,1.93528,1.93578,1.93518,1.93527
2019-03-15 03:50:00+00:00,897,True,1.93527,1.93582,1.93512,1.93572
2019-03-15 04:00:00+00:00,822,True,1.93573,1.93591,1.93435,1.93448
2019-03-15 04:10:00+00:00,566,True,1.93451,1.93546,1.93448,1.93526
2019-03-15 04:20:00+00:00,552,True,1.93527,1.93529,1.93479,1.93481
2019-03-15 04:30:00+00:00,913,True,1.93481,1.93537,1.93448,1.93505
2019-03-15 04:40:00+00:00,650,True,1.93505,1.93548,1.9348,1.93528
2019-03-15 04:50:00+00:00,480,True,1.93535,1.93535,1.93456,1.93462
2019-03-15 05:00:00+00:00,523,True,1.93462,1.93493,1.93455,1.93469
2019-03-15 05:10:00+00:00,749,True,1.9347,1.93486,1.93399,1.93424
2019-03-15 05:20:00+00:00,433,True,1.93429,1.93466,1.93389,1.93408
2019-03-15 05:30:00+00:00,515,True,1.93407,1.93425,1.93348,1.93355
2019-03-15 05:40:00+00:00,618,True,1.93354,1.93354,1.9329,1.9333
2019-03-15 05:50:00+00:00,719,True,1.93331,1.93362,1.9321,1.93232
2019-03-15 06:00:00+00:00,728,True,1.93231,1.93302,1.93228,1.93278
2019-03-15 06:10:00+00:00,785,True,1.93281,1.93367,1.93276,1.93362
2019-03-15 06:20:00+00:00,697,True,1.93365,1.93405,1.93347,1.93373
2019-03-15 06:30:00+00:00,860,True,1.93366,1.9339,1.93298,1.93316
2019-03-15 06:40:00+00:00,1271,True,1.9331,1.93405,1.93238,1.93396
2019-03-15 06:50:00+00:00,1142,True,1.93397,1.9344,1.93367,1.93407
2019-03-15 07:00:00+00:00,2189,True,1.93407,1.93592,1.93361,1.9358
2019-03-15 07:10:00+00:00,1587,True,1.93579,1.93592,1.93458,1.93585
2019-03-15 07:20:00+00:00,1133,True,1.93589,1.9359,1.93444,1.93474
2019-03-15 07:30:00+00:00,1956,True,1.93475,1.93479,1.93214,1.93255
2019-03-15 07:40:00+00:00,4474,True,1.93255,1.93256,1.9259,1.92703
2019-03-15 07:50:00+00:00,3680,True,1.92708,1.92809,1.92561,1.92776
2019-03-15 08:00:00+00:00,3612,True,1.92777,1.92881,1.92708,1.92854
2019-03-15 08:10:00+00:00,3451,True,1.92854,1.93039,1.92766,1.92927
2019-03-15 08:20:00+00:00,2843,True,1.92925,1.93122,1.92916,1.93101
2019-03-15 08:30:00+00:00,2546,True,1.93097,1.93107,1.93004,1.93097
2019-03-15 08:40:00+00:00,2399,True,1.93095,1.9315,1.93039,1.93108
2019-03-15 08:50:00+00:00,2999,True,1.93109,1.9329,1.93082,1.93234
2019-03-15 09:00:00+00:00,3439,True,1.93234,1.93289,1.93177,1.93246
2019-03-15 09:10:00+00:00,2240,True,1.93244,1.93283,1.93194,1.932
2019-03-15 09:20:00+00:00,2045,True,1.93203,1.93298,1.93167,1.93276
2019-03-15 09:30:00+00:00,2149,True,1.93274,1.93461,1.93246,1.93457
2019-03-15 09:40:00+00:00,2812,True,1.93455,1.9358,1.93439,1.9353
2019-03-15 09:50:00+00:00,3435,True,1.9353,1.93739,1.935,1.93698
2019-03-15 10:00:00+00:00,3061,True,1.93695,1.93722,1.93611,1.93683
2019-03-15 10:10:00+00:00,2645,True,1.93682,1.93914,1.93633,1.93913
2019-03-15 10:20:00+00:00,2150,True,1.93915,1.93917,1.93726,1.93785
2019-03-15 10:30:00+00:00,1481,True,1.93785,1.93885,1.93782,1.93861
2019-03-15 10:40:00+00:00,1855,True,1.93862,1.93881,1.93736,1.9374
2019-03-15 10:50:00+00:00,3325,True,1.93738,1.93825,1.93611,1.93695
2019-03-15 11:00:00+00:00,2887,True,1.93695,1.93755,1.93615,1.93682
2019-03-15 11:10:00+00:00,2104,True,1.9368,1.93717,1.93651,1.9368
2019-03-15 11:20:00+00:00,2951,True,1.93679,1.93815,1.93667,1.93778
2019-03-15 11:30:00+00:00,1405,True,1.93778,1.93789,1.93708,1.93769
2019-03-15 11:40:00+00:00,1726,True,1.93771,1.9384,1.93738,1.9381
2019-03-15 11:50:00+00:00,1692,True,1.93812,1.93872,1.93762,1.9381
2019-03-15 12:00:00+00:00,2480,True,1.93813,1.93813,1.93603,1.9365
2019-03-15 12:10:00+00:00,2061,True,1.93649,1.93684,1.93565,1.93585
2019-03-15 12:20:00+00:00,3357,True,1.93587,1.93674,1.93418,1.93432
2019-03-15 12:30:00+00:00,3106,True,1.9344,1.93596,1.93391,1.93437
2019-03-15 12:40:00+00:00,3170,True,1.93438,1.93524,1.93402,1.93434
2019-03-15 12:50:00+00:00,3383,True,1.93433,1.93574,1.9342,1.93506
2019-03-15 13:00:00+00:00,4247,True,1.93506,1.93568,1.93402,1.93565
2019-03-15 13:10:00+00:00,4130,True,1.93563,1.93796,1.93477,1.93719
2019-03-15 13:20:00+00:00,3982,True,1.93719,1.93757,1.93631,1.93687
2019-03-15 13:30:00+00:00,3604,True,1.93683,1.9372,1.93511,1.93576
2019-03-15 13:40:00+00:00,3640,True,1.93574,1.93706,1.93494,1.93677
2019-03-15 13:50:00+00:00,3286,True,1.9368,1.93788,1.93564,1.93735
2019-03-15 14:00:00+00:00,3957,True,1.93736,1.93833,1.93677,1.93767
2019-03-15 14:10:00+00:00,4494,True,1.93768,1.93789,1.93574,1.93593
2019-03-15 14:20:00+00:00,3172,True,1.93591,1.93748,1.93558,1.93707
2019-03-15 14:30:00+00:00,2975,True,1.93706,1.93727,1.93596,1.93642
2019-03-15 14:40:00+00:00,2649,True,1.93641,1.93777,1.93615,1.93645
2019-03-15 14:50:00+00:00,2637,True,1.93648,1.9368,1.93562,1.93675
2019-03-15 15:00:00+00:00,3085,True,1.93675,1.93771,1.93626,1.93653
2019-03-15 15:10:00+00:00,3469,True,1.93653,1.93719,1.936,1.93646
2019-03-15 15:20:00+00:00,3374,True,1.93645,1.93715,1.93506,1.93564
2019-03-15 15:30:00+00:00,3076,True,1.93562,1.9376,1.93537,1.93744
2019-03-15 15:40:00+00:00,5024,True,1.93744,1.93949,1.93521,1.9393
2019-03-15 15:50:00+00:00,6027,True,1.9393,1.93931,1.93669,1.93846
2019-03-15 16:00:00+00:00,3752,True,1.93848,1.93962,1.93797,1.93889
2019-03-15 16:10:00+00:00,3084,True,1.93888,1.94075,1.93887,1.94056
2019-03-15 16:20:00+00:00,2874,True,1.94059,1.94144,1.94009,1.94085
2019-03-15 16:30:00+00:00,3023,True,1.94086,1.94283,1.94063,1.94266
2019-03-15 16:40:00+00:00,2655,True,1.94268,1.94305,1.94144,1.94302
2019-03-15 16:50:00+00:00,2129,True,1.94301,1.94301,1.94112,1.9418
2019-03-15 17:00:00+00:00,1611,True,1.94182,1.942,1.94097,1.94165
2019-03-15 17:10:00+00:00,1284,True,1.94168,1.94221,1.94156,1.94192
2019-03-15 17:20:00+00:00,1469,True,1.94195,1.94195,1.9412,1.94154
2019-03-15 17:30:00+00:00,1193,True,1.94156,1.94162,1.94098,1.94153
2019-03-15 17:40:00+00:00,1515,True,1.94152,1.94197,1.94125,1.94157
2019-03-15 17:50:00+00:00,1842,True,1.94156,1.94164,1.93976,1.94035
2019-03-15 18:00:00+00:00,1084,True,1.94032,1.94034,1.93882,1.93963
2019-03-15 18:10:00+00:00,1039,True,1.93961,1.93993,1.93946,1.93971
2019-03-15 18:20:00+00:00,1111,True,1.93973,1.93994,1.93878,1.93886
2019-03-15 18:30:00+00:00,856,True,1.93881,1.93904,1.93814,1.93857
2019-03-15 18:40:00+00:00,858,True,1.9385,1.93937,1.93814,1.93935
2019-03-15 18:50:00+00:00,1280,True,1.93936,1.94024,1.93919,1.93993
2019-03-15 19:00:00+00:00,1618,True,1.93993,1.94141,1.93971,1.94073
2019-03-15 19:10:00+00:00,1384,True,1.94076,1.9423,1.94059,1.94211
2019-03-15 19:20:00+00:00,1177,True,1.9421,1.94242,1.94111,1.94122
2019-03-15 19:30:00+00:00,814,True,1.94121,1.94221,1.94104,1.94114
2019-03-15 19:40:00+00:00,1127,True,1.94116,1.94171,1.94053,1.94118
2019-03-15 19:50:00+00:00,1712,True,1.94125,1.94171,1.94107,1.94155
2019-03-15 20:00:00+00:00,864,True,1.94157,1.94158,1.94057,1.9412
2019-03-15 20:10:00+00:00,398,True,1.94119,1.94123,1.94092,1.94113
2019-03-15 20:20:00+00:00,375,True,1.94113,1.94119,1.94057,1.94058
2019-03-15 20:30:00+00:00,764,True,1.94059,1.94069,1.93976,1.94013
2019-03-15 20:40:00+00:00,1146,True,1.94013,1.94029,1.93938,1.93995
2019-03-15 20:50:00+00:00,1207,True,1.93998,1.94119,1.93978,1.94048
2019-03-17 21:00:00+00:00,75,True,1.94022,1.9418,1.94022,1.94062
2019-03-17 21:10:00+00:00,471,True,1.94059,1.942,1.94059,1.94149
2019-03-17 21:20:00+00:00,183,True,1.94149,1.9417,1.94053,1.94058
2019-03-17 21:30:00+00:00,318,True,1.94056,1.94191,1.94031,1.94182
2019-03-17 21:40:00+00:00,396,True,1.94181,1.94283,1.94122,1.94259
