time,volume,complete,o,h,l,c
2019-03-15 00:00:00+00:00,712,True,1.33032,1.33049,1.33003,1.33009
2019-03-15 00:10:00+00:00,856,True,1.33008,1.33025,1.32952,1.3296
2019-03-15 00:20:00+00:00,605,True,1.32962,1.32963,1.32926,1.3294
2019-03-15 00:30:00+00:00,500,True,1.32942,1.32972,1.32941,1.32953
2019-03-15 00:40:00+00:00,828,True,1.32954,1.32982,1.3291,1.32936
2019-03-15 00:50:00+00:00,692,True,1.32936,1.32958,1.32921,1.32924
2019-03-15 01:00:00+00:00,580,True,1.32926,1.32928,1.32862,1.32882
2019-03-15 01:10:00+00:00,975,True,1.32881,1.32883,1.32815,1.32846
2019-03-15 01:20:00+00:00,591,True,1.32846,1.32864,1.3283,1.32853
2019-03-15 01:30:00+00:00,646,True,1.32853,1.32909,1.3284,1.32842
2019-03-15 01:40:00+00:00,446,True,1.32841,1.32869,1.32819,1.32821
2019-03-15 01:50:00+00:00,455,True,1.32822,1.32853,1.3281,1.32851
2019-03-15 02:00:00+00:00,466,True,1.32852,1.32863,1.3284,1.3285
2019-03-15 02:10:00+00:00,756,True,1.3285,1.32861,1.32839,1.32857
2019-03-15 02:20:00+00:00,860,True,1.32856,1.32887,1.32842,1.32869
2019-03-15 02:30:00+00:00,661,True,1.32867,1.32905,1.32866,1.32887
2019-03-15 02:40:00+00:00,775,True,1.32887,1.3289,1.32844,1.32868
2019-03-15 02:50:00+00:00,1020,True,1.32869,1.32912,1.3286,1.32898
2019-03-15 03:00:00+00:00,2035,True,1.32898,1.32903,1.32719,1.32803
2019-03-15 03:10:00+00:00,1009,True,1.32802,1.32847,1.32711,1.32733
2019-03-15 03:20:00+00:00,839,True,1.32733,1.32753,1.3268,1.32741
2019-03-15 03:30:00+00:00,508,True,1.32741,1.3275,1.32718,1.32746
2019-03-15 03:40:00+00:00,499,True,1.32745,1.32769,1.32743,1.32754
2019-03-15 03:50:00+00:00,418,True,1.32754,1.32767,1.32721,1.32747
2019-03-15 04:00:00+00:00,574,True,1.32747,1.32779,1.3273,1.3276
2019-03-15 04:10:00+00:00,384,True,1.32759,1.32775,1.32756,1.32765
2019-03-15 04:20:00+00:00,401,True,1.32766,1.32774,1.32753,1.32758
2019-03-15 04:30:00+00:00,546,True,1.3276,1.32797,1.32748,1.32793
2019-03-15 04:40:00+00:00,349,True,1.32792,1.32816,1.32788,1.32801
2019-03-15 04:50:00+00:00,253,True,1.32802,1.32804,1.32766,1.32771
2019-03-15 05:00:00+00:00,297,True,1.32768,1.32784,1.32748,1.32749
2019-03-15 05:10:00+00:00,421,True,1.32749,1.32749,1.32716,1.32716
2019-03-15 05:20:00+00:00,269,True,1.3272,1.32731,1.32709,1.32711
2019-03-15 05:30:00+00:00,280,True,1.32708,1.32744,1.32708,1.3273
2019-03-15 05:40:00+00:00,326,True,1.32732,1.32754,1.32727,1.32749
2019-03-15 05:50:00+00:00,413,True,1.3275,1.32751,1.32679,1.32684
2019-03-15 06:00:00+00:00,468,True,1.32685,1.32725,1.32682,1.32723
2019-03-15 06:10:00+00:00,543,True,1.32723,1.32755,1.32723,1.32754
2019-03-15 06:20:00+00:00,442,True,1.32753,1.32769,1.32729,1.32729
2019-03-15 06:30:00+00:00,529,True,1.32729,1.32743,1.32705,1.32717
2019-03-15 06:40:00+00:00,899,True,1.32715,1.3281,1.32705,1.32794
2019-03-15 06:50:00+00:00,882,True,1.32794,1.32818,1.32783,1.32794
2019-03-15 07:00:00+00:00,1379,True,1.32794,1.32868,1.32778,1.32854
2019-03-15 07:10:00+00:00,1073,True,1.32854,1.32876,1.32777,1.32872
2019-03-15 07:20:00+00:00,1012,True,1.32874,1.32874,1.32813,1.32849
2019-03-15 07:30:00+00:00,1454,True,1.32851,1.32852,1.3271,1.32744
2019-03-15 07:40:00+00:00,3567,True,1.32744,1.3277,1.32325,1.32384
2019-03-15 07:50:00+00:00,3020,True,1.32385,1.32548,1.32336,1.32544
2019-03-15 08:00:00+00:00,3389,True,1.32545,1.32582,1.32469,1.32549
2019-03-15 08:10:00+00:00,2349,True,1.32548,1.32635,1.32477,1.326
2019-03-15 08:20:00+00:00,2521,True,1.32602,1.32723,1.32594,1.32711
2019-03-15 08:30:00+00:00,2419,True,1.32712,1.32738,1.32676,1.32738
2019-03-15 08:40:00+00:00,1771,True,1.32736,1.32778,1.32718,1.32762
2019-03-15 08:50:00+00:00,2376,True,1.32763,1.32895,1.32753,1.32878
2019-03-15 09:00:00+00:00,2265,True,1.32879,1.3293,1.32839,1.32898
2019-03-15 09:10:00+00:00,1904,True,1.32899,1.32994,1.32894,1.32931
2019-03-15 09:20:00+00:00,1578,True,1.32929,1.32949,1.32885,1.32924
2019-03-15 09:30:00+00:00,1328,True,1.32923,1.3298,1.32886,1.32976
2019-03-15 09:40:00+00:00,2012,True,1.32976,1.33054,1.32971,1.33046
2019-03-15 09:50:00+00:00,2326,True,1.33045,1.33155,1.33036,1.33105
2019-03-15 10:00:00+00:00,2206,True,1.33108,1.33141,1.33073,1.33113
2019-03-15 10:10:00+00:00,2185,True,1.33113,1.33288,1.33095,1.33287
2019-03-15 10:20:00+00:00,1544,True,1.33289,1.33294,1.33201,1.33251
2019-03-15 10:30:00+00:00,1284,True,1.33249,1.33312,1.3324,1.33277
2019-03-15 10:40:00+00:00,1379,True,1.33276,1.33317,1.33226,1.33234
2019-03-15 10:50:00+00:00,2840,True,1.33236,1.33259,1.33064,1.33109
2019-03-15 11:00:00+00:00,2537,True,1.33107,1.33121,1.32963,1.33014
2019-03-15 11:10:00+00:00,1616,True,1.33017,1.33072,1.33009,1.33067
2019-03-15 11:20:00+00:00,2204,True,1.33067,1.33145,1.33056,1.33079
2019-03-15 11:30:00+00:00,1011,True,1.33076,1.33097,1.33041,1.3309
2019-03-15 11:40:00+00:00,1300,True,1.33087,1.33128,1.33071,1.33121
2019-03-15 11:50:00+00:00,1765,True,1.33124,1.33173,1.33103,1.33156
2019-03-15 12:00:00+00:00,2107,True,1.33156,1.33158,1.33037,1.3307
2019-03-15 12:10:00+00:00,1584,True,1.3307,1.33079,1.32985,1.32992
2019-03-15 12:20:00+00:00,2834,True,1.32991,1.33071,1.32932,1.32943
2019-03-15 12:30:00+00:00,2330,True,1.32937,1.33036,1.32912,1.32967
2019-03-15 12:40:00+00:00,2103,True,1.32965,1.33013,1.32945,1.32963
2019-03-15 12:50:00+00:00,2446,True,1.32964,1.33056,1.32955,1.33022
2019-03-15 13:00:00+00:00,2884,True,1.33023,1.33023,1.32922,1.32958
2019-03-15 13:10:00+00:00,3192,True,1.32957,1.33163,1.3293,1.33115
2019-03-15 13:20:00+00:00,2660,True,1.33118,1.33147,1.3305,1.3307
2019-03-15 13:30:00+00:00,3303,True,1.33071,1.33159,1.32979,1.32996
2019-03-15 13:40:00+00:00,2762,True,1.32994,1.33108,1.3297,1.33067
2019-03-15 13:50:00+00:00,2734,True,1.33068,1.33136,1.33006,1.33106
2019-03-15 14:00:00+00:00,2856,True,1.33108,1.33145,1.33068,1.331
2019-03-15 14:10:00+00:00,3250,True,1.33099,1.33118,1.32958,1.32967
2019-03-15 14:20:00+00:00,2362,True,1.32965,1.33074,1.3296,1.33041
2019-03-15 14:30:00+00:00,1890,True,1.3304,1.33058,1.32984,1.3301
2019-03-15 14:40:00+00:00,2102,True,1.3301,1.33063,1.32976,1.3301
2019-03-15 14:50:00+00:00,1987,True,1.33012,1.33026,1.32926,1.33006
2019-03-15 15:00:00+00:00,2269,True,1.33007,1.33056,1.32985,1.33007
2019-03-15 15:10:00+00:00,2504,True,1.33008,1.33126,1.32988,1.33075
