time,volume,complete,o,h,l,c
2019-03-15 00:00:00+00:00,701,True,1.0338,1.03452,1.03378,1.03434
2019-03-15 00:10:00+00:00,497,True,1.03435,1.03458,1.03405,1.0342
2019-03-15 00:20:00+00:00,439,True,1.0342,1.03444,1.03404,1.0344
2019-03-15 00:30:00+00:00,398,True,1.0344,1.03445,1.03395,1.03397
2019-03-15 00:40:00+00:00,734,True,1.03398,1.03499,1.03396,1.03464
2019-03-15 00:50:00+00:00,610,True,1.03463,1.03488,1.03432,1.03451
2019-03-15 01:00:00+00:00,620,True,1.0345,1.03451,1.03375,1.03394
2019-03-15 01:10:00+00:00,662,True,1.03394,1.03402,1.03362,1.03391
2019-03-15 01:20:00+00:00,557,True,1.03389,1.03419,1.03376,1.03414
2019-03-15 01:30:00+00:00,432,True,1.03414,1.03423,1.03376,1.03379
2019-03-15 01:40:00+00:00,363,True,1.03379,1.03407,1.03374,1.03405
2019-03-15 01:50:00+00:00,447,True,1.03406,1.03434,1.03405,1.03415
2019-03-15 02:00:00+00:00,519,True,1.03415,1.03516,1.03402,1.03498
2019-03-15 02:10:00+00:00,598,True,1.035,1.03519,1.03491,1.03516
2019-03-15 02:20:00+00:00,592,True,1.03513,1.03557,1.03511,1.03527
2019-03-15 02:30:00+00:00,295,True,1.03527,1.03563,1.03526,1.03554
2019-03-15 02:40:00+00:00,611,True,1.03555,1.03555,1.03512,1.03527
2019-03-15 02:50:00+00:00,728,True,1.03528,1.03548,1.03482,1.03499
2019-03-15 03:00:00+00:00,1125,True,1.03499,1.03525,1.03474,1.03486
2019-03-15 03:10:00+00:00,687,True,1.03485,1.03518,1.03477,1.03491
2019-03-15 03:20:00+00:00,531,True,1.03492,1.03526,1.03484,1.03525
2019-03-15 03:30:00+00:00,312,True,1.03526,1.03536,1.03508,1.03509
2019-03-15 03:40:00+00:00,140,True,1.03508,1.03528,1.03506,1.03516
2019-03-15 03:50:00+00:00,257,True,1.03516,1.03533,1.03507,1.03532
2019-03-15 04:00:00+00:00,357,True,1.0353,1.03531,1.03481,1.03481
2019-03-15 04:10:00+00:00,298,True,1.0348,1.03487,1.03459,1.03475
2019-03-15 04:20:00+00:00,238,True,1.03477,1.03477,1.03449,1.03453
2019-03-15 04:30:00+00:00,323,True,1.03452,1.03478,1.03438,1.03444
2019-03-15 04:40:00+00:00,272,True,1.03445,1.0345,1.03428,1.03436
2019-03-15 04:50:00+00:00,304,True,1.03432,1.03444,1.03419,1.03438
2019-03-15 05:00:00+00:00,329,True,1.03438,1.03454,1.03428,1.03446
2019-03-15 05:10:00+00:00,353,True,1.03445,1.03461,1.03437,1.03446
2019-03-15 05:20:00+00:00,282,True,1.03446,1.03481,1.03445,1.03471
2019-03-15 05:30:00+00:00,359,True,1.03473,1.03476,1.03429,1.03444
2019-03-15 05:40:00+00:00,453,True,1.03445,1.03445,1.03416,1.0342
2019-03-15 05:50:00+00:00,298,True,1.0342,1.0343,1.03411,1.03427
2019-03-15 06:00:00+00:00,402,True,1.03428,1.03444,1.03404,1.03442
2019-03-15 06:10:00+00:00,450,True,1.03441,1.03451,1.03427,1.03436
2019-03-15 06:20:00+00:00,301,True,1.03436,1.03456,1.03435,1.03451
2019-03-15 06:30:00+00:00,366,True,1.03452,1.03461,1.03436,1.0344
2019-03-15 06:40:00+00:00,436,True,1.0344,1.03442,1.03404,1.03432
2019-03-15 06:50:00+00:00,333,True,1.03431,1.03442,1.0342,1.03437
2019-03-15 07:00:00+00:00,625,True,1.03437,1.03482,1.03427,1.03482
2019-03-15 07:10:00+00:00,413,True,1.03482,1.03508,1.0347,1.03498
2019-03-15 07:20:00+00:00,329,True,1.03497,1.03522,1.03489,1.035
2019-03-15 07:30:00+00:00,605,True,1.03499,1.03513,1.03453,1.03455
2019-03-15 07:40:00+00:00,840,True,1.03455,1.03456,1.03395,1.03401
2019-03-15 07:50:00+00:00,701,True,1.03401,1.03422,1.03387,1.03392
2019-03-15 08:00:00+00:00,547,True,1.03391,1.03411,1.03384,1.03407
2019-03-15 08:10:00+00:00,615,True,1.03405,1.03444,1.03391,1.03404
2019-03-15 08:20:00+00:00,489,True,1.03404,1.03418,1.03395,1.03399
2019-03-15 08:30:00+00:00,611,True,1.03399,1.03416,1.03388,1.03409
2019-03-15 08:40:00+00:00,421,True,1.03409,1.03431,1.03403,1.03414
2019-03-15 08:50:00+00:00,507,True,1.03412,1.03414,1.03374,1.03375
2019-03-15 09:00:00+00:00,426,True,1.03373,1.03381,1.03363,1.03366
2019-03-15 09:10:00+00:00,455,True,1.03367,1.03391,1.03363,1.03388
2019-03-15 09:20:00+00:00,313,True,1.03388,1.03421,1.03377,1.03412
2019-03-15 09:30:00+00:00,468,True,1.03412,1.03435,1.03406,1.03416
