time,volume,complete,o,h,l,c
2019-03-15 00:00:00+00:00,48,True,0.75301,0.75348,0.75301,0.75344
2019-03-15 00:10:00+00:00,31,True,0.75343,0.75351,0.75337,0.75344
2019-03-15 00:20:00+00:00,20,True,0.75347,0.75347,0.75334,0.75342
2019-03-15 00:30:00+00:00,44,True,0.75342,0.75377,0.75342,0.75363
2019-03-15 00:40:00+00:00,88,True,0.75366,0.75387,0.75331,0.75344
2019-03-15 00:50:00+00:00,57,True,0.75348,0.75348,0.75317,0.75323
2019-03-15 01:00:00+00:00,18,True,0.75322,0.75322,0.75312,0.75312
2019-03-15 01:10:00+00:00,32,True,0.75317,0.75318,0.75295,0.75301
2019-03-15 01:20:00+00:00,23,True,0.75303,0.75314,0.753,0.75314
2019-03-15 01:30:00+00:00,18,True,0.75313,0.75316,0.753,0.75304
2019-03-15 01:40:00+00:00,23,True,0.75301,0.75313,0.753,0.75308
2019-03-15 01:50:00+00:00,20,True,0.75304,0.7532,0.753,0.75314
2019-03-15 02:00:00+00:00,16,True,0.75315,0.75315,0.75305,0.75313
2019-03-15 02:10:00+00:00,19,True,0.75316,0.75316,0.75295,0.75296
2019-03-15 02:20:00+00:00,21,True,0.75298,0.75305,0.75292,0.75295
2019-03-15 02:30:00+00:00,15,True,0.75295,0.75307,0.75293,0.75294
2019-03-15 02:40:00+00:00,32,True,0.75298,0.75305,0.75289,0.75304
2019-03-15 02:50:00+00:00,56,True,0.75305,0.75323,0.75293,0.7532
2019-03-15 03:00:00+00:00,155,True,0.75316,0.75339,0.75244,0.75278
2019-03-15 03:10:00+00:00,49,True,0.75279,0.7529,0.7525,0.75265
2019-03-15 03:20:00+00:00,29,True,0.75267,0.75279,0.75262,0.75275
2019-03-15 03:30:00+00:00,32,True,0.75272,0.75286,0.75265,0.75286
2019-03-15 03:40:00+00:00,12,True,0.7529,0.75299,0.75287,0.75299
2019-03-15 03:50:00+00:00,16,True,0.75295,0.75301,0.75294,0.75294
2019-03-15 04:00:00+00:00,33,True,0.75291,0.753,0.75279,0.75289
2019-03-15 04:10:00+00:00,15,True,0.75289,0.75304,0.75289,0.75302
2019-03-15 04:20:00+00:00,9,True,0.75303,0.75308,0.75299,0.75299
2019-03-15 04:30:00+00:00,4,True,0.75303,0.75311,0.75303,0.75307
2019-03-15 04:40:00+00:00,7,True,0.75311,0.75311,0.75299,0.75304
2019-03-15 04:50:00+00:00,6,True,0.75308,0.75308,0.753,0.753
2019-03-15 05:00:00+00:00,8,True,0.75302,0.75316,0.75302,0.75307
2019-03-15 05:10:00+00:00,19,True,0.75306,0.75315,0.75306,0.75311
2019-03-15 05:20:00+00:00,16,True,0.75311,0.75327,0.75306,0.75323
2019-03-15 05:30:00+00:00,16,True,0.75327,0.75327,0.75315,0.75323
2019-03-15 05:40:00+00:00,14,True,0.75322,0.75325,0.75321,0.75322
2019-03-15 05:50:00+00:00,5,True,0.7532,0.75332,0.7532,0.75332
2019-03-15 06:00:00+00:00,24,True,0.75335,0.75343,0.75327,0.75343
2019-03-15 06:10:00+00:00,12,True,0.7534,0.75343,0.75336,0.75338
2019-03-15 06:20:00+00:00,2,True,0.75341,0.75341,0.75339,0.75339
2019-03-15 06:30:00+00:00,31,True,0.75343,0.7536,0.75338,0.75355
2019-03-15 06:40:00+00:00,44,True,0.75358,0.75371,0.75349,0.75349
2019-03-15 06:50:00+00:00,39,True,0.75354,0.75361,0.75345,0.75356
2019-03-15 07:00:00+00:00,39,True,0.75359,0.75367,0.75346,0.75353
2019-03-15 07:10:00+00:00,44,True,0.75354,0.75365,0.75341,0.7536
2019-03-15 07:20:00+00:00,30,True,0.75364,0.75389,0.75357,0.75389
2019-03-15 07:30:00+00:00,80,True,0.75388,0.75404,0.75376,0.75382
2019-03-15 07:40:00+00:00,77,True,0.75384,0.75389,0.75353,0.75359
2019-03-15 07:50:00+00:00,80,True,0.7536,0.75388,0.75357,0.75374
2019-03-15 08:00:00+00:00,104,True,0.75379,0.75404,0.75363,0.7539
2019-03-15 08:10:00+00:00,40,True,0.75385,0.75391,0.75372,0.75384
2019-03-15 08:20:00+00:00,56,True,0.75382,0.75399,0.75381,0.75394
2019-03-15 08:30:00+00:00,86,True,0.75394,0.75448,0.75389,0.75444
2019-03-15 08:40:00+00:00,55,True,0.75445,0.7546,0.75438,0.75444
2019-03-15 08:50:00+00:00,61,True,0.7544,0.75449,0.75427,0.75435
2019-03-15 09:00:00+00:00,96,True,0.75439,0.75444,0.75405,0.75444
2019-03-15 09:10:00+00:00,107,True,0.75446,0.75481,0.75439,0.75457
2019-03-15 09:20:00+00:00,66,True,0.75462,0.75462,0.75427,0.75434
2019-03-15 09:30:00+00:00,35,True,0.75429,0.75433,0.75404,0.75406
2019-03-15 09:40:00+00:00,63,True,0.75401,0.75442,0.75394,0.75434
2019-03-15 09:50:00+00:00,40,True,0.75435,0.75443,0.75398,0.754
2019-03-15 10:00:00+00:00,73,True,0.75396,0.7541,0.7538,0.75382
